MaxAbsEStateIndex,FpDensityMorgan1,BCUT2D_MWLOW,BCUT2D_CHGLO,AvgIpc,Kappa2,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA7,SMR_VSA10,SMR_VSA3,SMR_VSA7,SlogP_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,SlogP_VSA8,EState_VSA6,NHOHCount,NumAliphaticHeterocycles,NumAromaticRings,MolLogP,fr_Al_COO,fr_Ar_COO,fr_COO,fr_C_O_noCOO,fr_NH1,fr_allylic_oxid,fr_aniline,fr_bicyclic,fr_ester,fr_ketone,fr_nitro,fr_para_hydroxylation
10.844790762187948,1.1111111111111112,10.166855921593573,-2.0750050433954343,2.3974189103517194,5.226694549695174,5.749511833283905,0.0,0.0,42.46456947923127,17.344077837318974,0.0,54.09438803938988,11.374772549367124,18.18563022407009,0.0,10.357988675768818,0.0,25.30889874666236,2,0,2,3.1370000000000005,0,1,1,0,1,0,2,0,0,0,0,0
10.822465234180601,1.0588235294117647,10.157396225104591,-2.068226989995785,2.3242118686378794,4.699037479729979,0.0,0.0,0.0,37.255572541998674,17.344077837318974,0.0,59.65783953108687,11.374772549367124,11.075832682792555,0.0,15.921440167465814,0.0,18.19910120538483,2,0,2,3.436820000000001,0,1,1,0,1,0,2,0,0,0,0,0
11.124030086475974,1.0,10.064435684429114,-2.1044418564447103,2.5483113322617603,5.763838676353537,0.0,0.0,5.687386274683562,30.33183534230805,33.803912540932124,0.0,76.34144044507867,17.062158824050687,15.999143731610225,0.0,10.357988675768818,10.772448428929591,42.46456947923127,2,0,3,4.189800000000003,0,1,1,0,1,0,2,1,0,0,1,0
10.99018385557978,0.9,10.087424948214801,-2.09926538489569,2.4783535202472686,5.052938138047801,0.0,0.0,0.0,29.651692488311237,28.116526266248567,0.0,72.29348924477472,11.374772549367124,11.075832682792555,0.0,10.357988675768818,10.772448428929591,18.19910120538483,2,0,3,4.281600000000003,0,1,1,0,1,0,2,1,0,0,0,0
11.276252308698197,0.9230769230769231,10.043162644510117,-2.1075163370832684,2.60908660558015,6.475515295108755,5.386224214464796,0.0,11.374772549367124,24.26546827384644,39.491298815615686,0.0,80.38939164538263,22.74954509873425,20.922454780427895,0.0,10.357988675768818,10.772448428929591,12.13273413692322,2,0,3,4.0980000000000025,0,1,1,0,1,0,2,1,0,0,2,0
11.762918975364864,0.9130434782608695,10.00078053467358,-2.122055986402774,2.5483113322617603,5.926701502059583,0.0,5.783244946364939,0.0,42.64179675646347,33.89977121261351,0.0,71.7905736680101,11.374772549367124,16.859077629157497,0.0,27.639714551228256,10.772448428929591,37.255572541998674,2,0,3,4.484200000000002,0,1,1,1,1,0,2,1,0,1,0,0
11.817273888128867,0.8076923076923077,9.998974659061322,-2.130275710587273,2.6097157488415097,6.679359470474683,0.0,5.783244946364939,0.0,42.64179675646347,39.869076500565356,0.0,71.28765809124549,11.374772549367124,27.93491031195005,0.0,37.997703226997075,10.772448428929591,12.13273413692322,3,0,3,4.182400000000002,0,2,2,1,1,0,2,1,0,1,0,0
11.037651716002186,1.0,10.031602225163283,-2.110019540069189,2.5525608744350765,5.584014792104097,0.0,0.0,0.0,30.33183534230805,28.116526266248567,0.0,71.7905736680101,11.374772549367124,11.075832682792555,0.0,15.921440167465814,10.772448428929591,30.33183534230805,2,0,3,4.153280000000002,0,1,1,0,1,0,2,1,0,0,0,0
13.132525029984446,0.9166666666666666,10.019077491535315,-2.147903624087323,2.5401796466829794,5.882315167598833,0.0,0.0,0.0,35.71805955677285,28.116526266248567,0.0,71.7905736680101,24.546017692391587,11.075832682792555,6.176298517443475,15.921440167465814,10.772448428929591,30.33183534230805,2,0,3,5.3004000000000016,0,1,1,0,1,0,2,1,0,0,0,0
13.76945661174377,0.9523809523809523,10.079043947868705,-2.106401821897421,2.506005994877324,5.246275510204083,5.817220841045895,0.0,0.0,30.33183534230805,28.116526266248567,0.0,72.044343017359,15.765187597041944,11.075832682792555,0.0,10.357988675768818,10.772448428929591,36.39820241076966,2,0,3,4.420700000000003,0,1,1,0,1,0,2,1,0,0,0,0
10.98018385557978,1.05,10.137304317759495,-2.0940277572402093,2.4783535202472686,5.010594408332682,0.0,0.0,0.0,30.33183534230805,28.247002769400034,4.9839785209472085,66.35759867946456,11.374772549367124,16.059811203739763,0.0,10.357988675768818,10.902924932081056,24.395944776997904,2,0,3,3.6766000000000014,0,1,1,0,1,0,2,1,0,0,0,1
10.824949767377618,0.85,10.08879298183389,-2.095990735434092,2.4811023471777904,5.052938138047801,0.0,0.0,0.0,35.71805955677285,28.116526266248567,0.0,72.29348924477472,11.374772549367124,11.075832682792555,0.0,10.357988675768818,10.772448428929591,24.26546827384644,2,0,3,4.281600000000002,0,1,1,0,1,0,2,1,0,0,0,0
11.75427308033785,0.8695652173913043,10.001075166961328,-2.1198695023442693,2.550710154506852,5.926701502059583,0.0,5.783244946364939,0.0,48.70816382492508,33.89977121261351,0.0,71.7905736680101,11.374772549367124,16.859077629157497,0.0,27.639714551228256,10.772448428929591,37.255572541998674,2,0,3,4.484200000000002,0,1,1,1,1,0,2,1,0,1,0,0
11.235560279667425,0.8,10.08069575213526,-2.1148687547843905,2.4788472501349506,5.052938138047801,0.0,0.0,0.0,23.585325419849628,28.116526266248567,0.0,72.29348924477472,11.374772549367124,11.075832682792555,0.0,10.357988675768818,10.772448428929591,18.19910120538483,2,0,3,4.281600000000002,0,1,1,0,1,0,2,1,0,0,0,1
11.394373110355254,1.0,10.078066094148928,-2.130414948853908,2.54600694968771,5.773843252852653,5.749511833283905,0.0,0.0,23.585325419849628,28.116526266248567,0.0,66.2271221763131,11.374772549367124,18.18563022407009,0.0,10.357988675768818,10.772448428929591,19.242531678200752,2,0,3,4.290200000000002,0,1,1,0,1,0,2,1,0,0,0,0
11.499082577475434,0.9130434782608695,10.045041194893649,-2.1263805870844132,2.5486195240028513,5.926701502059583,0.0,5.783244946364939,0.0,36.57542968800186,33.89977121261351,0.0,71.7905736680101,11.374772549367124,16.859077629157497,0.0,27.639714551228256,10.772448428929591,12.13273413692322,2,0,3,4.484200000000003,0,1,1,1,1,0,2,1,0,1,0,0
11.553197803812882,1.0,10.03793185291952,-2.1290802011842027,2.6120775300701444,6.637225036195963,0.0,5.783244946364939,5.687386274683562,37.255572541998674,39.58715748729706,0.0,75.83852486831405,17.062158824050687,21.782388677975163,0.0,27.639714551228256,10.772448428929591,24.26546827384644,2,0,3,4.392400000000004,0,1,1,1,1,0,2,1,0,1,1,0
